Symbol,Exchange
^OMRXMORT,STO
DE000SL0L268.SG,STU
IX0047.TWO,TWO
ORFH.Z,ZRH
Q4V0.Z,ZRH
04SZ.Z,ZRH
SBFLP.SW,EBS
^SPSICHTR,NYS
^KCYBERMP,SNP
DE000SL0LGW2.SG,STU
^ICE5CMTT,NYS
^NOMXNMASEK,STO
^MTGP-TC,ASE
^FARX-EU,ASE
46WZ.Z,ZRH
^SPCQVCP,SNP
^GXC-EU,ASE
Q3GY.Z,ZRH
DE000SL0CKJ0.SG,STU
^NQUSB4030LMN,NIM
^SP600-50201020,SNP
^NQDMMEA3030T,NIM
SSGLE.FGI,FGI
Q2PG.Z,ZRH
Q5NX.Z,ZRH
^SPGTIHCT,SNP
399809.SS,SHH
DE000SL0KHU6.SG,STU
^BEPIND,WCB
^SPG120055WMNTR,SNP
^NQUSB451020LM,NIM
^EURL-IV,ASE
DE000SL0AYD8.SG,STU
^ICE1CS,NYS
^AYSLF,ASX
^SRHR-NV,ASE
ESE4N.AS,AMS
^APRT-TC,ASE
^NQSE50LMN,NIM
^HYFI-EU,ASE
^XTR-EU,ASE
^SPDLECEP,SNP
Q5D3.Z,ZRH
DE000SL0B3Z3.SG,STU
^BEPBUSN,WCB
^SPJXPAUT,SNP
FHH7.Z,ZRH
^NQUSB151010,NIM
^BCD-EU,ASE
SBD23T.SW,EBS
Q7KZ.Z,ZRH
^SPEXCHAN,SNP
^NQUSM35102015,NIM
^XTC,NYS
Q2B7.Z,ZRH
0529.Z,ZRH
IX0210.TW,TAI
^NQDMASIA15LMT,NIM
^DJCNG1IP,DJI
^NQBRT,NIM
DE000SL0GVG4.SG,STU
OX8V.Z,ZRH
^FSST-TC,ASE
^NQG3010,NIM
CH0030648163.SG,STU
^BIL-EU,ASE
^NQCA65N,NIM
^NQUSL4520N,NIM
^THY-EU,ASE
^CRUZ-EU,ASE
^NQTWN,NIM
SNA35D.SW,EBS
^SGIXNAVT,SNP
^CVRT-EU,ASE
^DJTMNSST,DJI
^NQDMASIA3030LMN,NIM
03L3.Z,ZRH
DE000SL0GWA5.SG,STU
DE000SL0EKU3.SG,STU
^SPCSECGP,SNP
DE000SL0KUD5.SG,STU
DE000SL0LRQ1.SG,STU
DE000SL0ML47.SG,STU
^NQEMASIA3020LMN,NIM
^VBR-EU,ASE
0P00006FA6.BO,BSE
DE000SL0C8B2.SG,STU
^UTES-TC,ASE
FTSE_EU.AT,ATH
DE000SL0AUG9.SG,STU
^VNINDEX.VN,VSE
^ICEUS1K,NYS
^TWM-TC,ASE
^XHYT-EU,ASE
Q5QJ.Z,ZRH
^FLJJ-NV,ASE
NMX101010.FGI,FGI
DE000SL0F2B2.SG,STU
^JULT-EU,ASE
01QY.Z,ZRH
Q7B5.Z,ZRH
Q5XM.Z,ZRH
^MBBB-IV,ASE
1BPJ.Z,ZRH
09VK.Z,ZRH
DE000SL0LL63.SG,STU
^NQIL,NIM
FTUSFLUTN.FGI,FGI
R1VFF.FGI,FGI
690.TA,TLV
08Y3.Z,ZRH
0A9Q.Z,ZRH
Q8E.Z,ZRH
FTCRAXJN.FGI,FGI
^NDXDWA,NIM
^GGUS-TC,ASE
DE000SL0H6A3.SG,STU
DE000SL0JHS2.SG,STU
DE000SL0B939.SG,STU
DE000SL0DQ27.SG,STU
DE000SL0DQE6.SG,STU
^NQUSS50202020T,NIM
DE000SL0JA94.SG,STU
DE000SL0CE14.SG,STU
S751.Z,ZRH
^QINT-NV,ASE
^BRLN-IV,ASE
^NQDMASPA10T,NIM
^NQUSB30302020LMT,NIM
